;eixo1;eixo2;cor1;cor2;ctr1;ctr2;massa;qualidade_2d
pessoa;-1.3698;-2.4905;0.2322;0.7678;0.0088;0.0359;0.00176;1.0
pior;-0.7844;0.4044;0.79;0.21;0.0017;0.0006;0.00105;1.0
praticamente;0.5082;-0.0208;0.9983;0.0017;0.0007;0.0;0.00105;1.0
preciso;-1.76;-4.4205;0.1368;0.8632;0.0087;0.0678;0.00105;1.0
preferir;1.1545;-0.2334;0.9607;0.0393;0.0025;0.0001;0.0007;1.0
preso;-0.6229;0.3512;0.7587;0.2413;0.0044;0.0017;0.00421;1.0
problema;0.707;-0.0862;0.9853;0.0147;0.0061;0.0001;0.00456;1.0
procedimento;-0.1381;0.1918;0.3416;0.6584;0.0001;0.0001;0.00105;1.0
processo;0.5082;-0.0208;0.9983;0.0017;0.0007;0.0;0.00105;1.0
proibir;1.1545;-0.2334;0.9607;0.0393;0.0038;0.0002;0.00105;1.0
puro;1.1545;-0.2334;0.9607;0.0393;0.0038;0.0002;0.00105;1.0
pó;-0.1381;0.1918;0.3416;0.6584;0.0002;0.0004;0.00316;1.0
pôr;0.185;0.0855;0.824;0.176;0.0003;0.0001;0.00281;1.0
qualidade;0.5082;-0.0208;0.9983;0.0017;0.0007;0.0;0.00105;1.0
quantidade;0.0465;0.131;0.1119;0.8881;0.0;0.0001;0.00246;1.0
queijo;-0.7844;0.4044;0.79;0.21;0.0012;0.0004;0.0007;1.0
querer;0.4511;-0.1108;0.9431;0.0569;0.0136;0.001;0.02493;1.0
questão;-0.3925;-0.0921;0.9478;0.0522;0.003;0.0002;0.00737;1.0
quimioterapia;0.1;0.1135;0.437;0.563;0.0005;0.0008;0.02001;1.0
receio;-0.382;-1.0144;0.1242;0.8758;0.0008;0.0071;0.00211;1.0
recurso;-0.1381;0.1918;0.3416;0.6584;0.0001;0.0001;0.00105;1.0
relacionar;-0.7844;0.4044;0.79;0.21;0.004;0.0013;0.00246;1.0
relutante;-0.7844;0.4044;0.79;0.21;0.0012;0.0004;0.0007;1.0
remédio;-0.6552;0.3619;0.7662;0.2338;0.0121;0.0045;0.01053;1.0
resolver;-0.7844;0.4044;0.79;0.21;0.0023;0.0008;0.0014;1.0
respirar;-0.7844;0.4044;0.79;0.21;0.0012;0.0004;0.0007;1.0
ressecar;-0.7844;0.4044;0.79;0.21;0.0023;0.0008;0.0014;1.0
restrição;1.1545;-0.2334;0.9607;0.0393;0.0038;0.0002;0.00105;1.0
resultado;-0.1381;0.1918;0.3416;0.6584;0.0001;0.0001;0.00105;1.0
rim;-0.7844;0.4044;0.79;0.21;0.0017;0.0006;0.00105;1.0
ritmo;0.5082;-0.0208;0.9983;0.0017;0.0007;0.0;0.00105;1.0
ruim;-0.4232;-1.6441;0.0621;0.9379;0.0013;0.025;0.00281;1.0
