forma;parte;score
casca;G5;-0.2496
cheiro;G5;0.544
comer;G5;0.5166
começar;G5;0.3595
comida;G5;0.9545
comprar;G5;1.4666
conhecimento;G5;-0.4371
conseguir;G5;-0.2882
consulta;G5;-0.1872
contar;G5;-0.4371
continuar;G5;0.4034
conversar;G5;0.2902
corpo;G5;-0.4996
correr;G5;-0.5622
correto;G5;0.2382
cortar;G5;-0.4371
cozinhar;G5;0.2902
cru;G5;0.3593
cuidado;G5;0.3593
câncer;G5;0.2387
danone;G5;1.7482
dentro;G5;-0.2496
depender;G5;-0.3121
descobrir;G5;0.2902
desconto;G5;-0.1248
deus;G5;0.3955
diagnóstico;G5;-0.1872
diarreia;G5;-0.2496
dieta;G5;0.7306
diferente;G5;-0.3738
dificuldade;G5;-0.3395
digestão;G5;-0.1872
diminuir;G5;-0.2182
direto;G5;0.2382
doce;G5;1.308
dor;G5;-0.3746
dormir;G5;0.3593
doutor;G5;-0.2235
dúvida;G5;5.4713
emagrecer;G5;0.4558
engasgava;G5;-0.0624
engolir;G5;2.1017
engordar;G5;0.9678
enjoar;G5;0.4885
entender;G5;-0.1963
entrar;G5;0.2902
errado;G5;-0.1872
específico;G5;-0.1872
esperar;G5;-0.3121
essencial;G5;0.2902
estômago;G5;0.7306
evitar;G5;-0.1872
exame;G5;0.8678
exemplo;G5;0.4637
experiência;G5;0.7306
explicar;G5;-0.6874
falado;G5;-0.1872
falta;G5;-0.2496
fase;G5;0.7306
feijão;G5;0.1976
final;G5;-0.1872
forma;G5;-0.2496
forte;G5;-0.3121
forçar;G5;-0.4156
fraco;G5;-0.1248
frango;G5;-0.3121
frente;G5;-0.1872
fruta;G5;-0.3221
funcionar;G5;-0.4371
furado;G5;-0.0624
fácil;G5;-0.1496
ganhar;G5;-0.3746
garrafa;G5;-0.5622
gastrostomia;G5;-1.0008
geral;G5;-0.3121
gostar;G5;2.3587
gosto;G5;-0.183
graça;G5;0.2387
grosso;G5;-0.1872
higiene;G5;1.0751
hipoclorito;G5;0.4034
horrível;G5;-0.1872
hospital;G5;0.2712
importante;G5;-0.1496
imunidade;G5;-0.1496
incomodar;G5;0.4034
independente;G5;0.3593
infecção;G5;-0.1872
interessante;G5;-0.3121
internar;G5;0.4704
intestino;G5;0.3088
introdução;G5;0.4558
inventar;G5;-0.1872
invocar;G5;-0.1248
início;G5;-0.75
japonês;G5;-0.1872
lado;G5;0.3593
legume;G5;1.1824
leite;G5;1.1824
lembrar;G5;-0.3121
levar;G5;-0.2496
lidar;G5;-0.1872
líquido;G5;-0.2496
macarrão;G5;-0.3746
