;aceitar;ajudar;alimentação;bastante;bater;beber;bem;besteira;boca;casa;cheiro;comer;começar;comida;conseguir;câncer;deus;diferente;dificuldade;doce;doutor;enjoar;entender;forçar;fruta;gastrostomia;gostar;graça;higiene;hospital;internar;legume;leite;mal;manter;medo;menos;mudar;nunca;náusea;observar;passar;perder;peso;problema;querer;questão;quimioterapia;remédio;sair;semana;sentir;sonda;suplemento;tomar;tratamento;verdura;voltar;vomitar;água
menos;1.0;3.0;3.0;1.0;1.0;1.0;2.0;0.0;1.0;1.0;0.0;10.0;2.0;2.0;1.0;0.0;1.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;1.0;0.0;2.0;0.0;1.0;0.0;1.0;2.0;2.0;0.0;4.0;1.0;3.0;2.0;2.0;1.0;1.0;3.0;5.0;4.0;2.0;0.0;3.0;2.0;2.0
mudar;2.0;0.0;2.0;2.0;0.0;1.0;4.0;2.0;0.0;1.0;2.0;8.0;4.0;3.0;2.0;0.0;0.0;2.0;2.0;2.0;2.0;2.0;0.0;0.0;3.0;0.0;2.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;1.0;5.0;1.0;4.0;0.0;0.0;1.0;0.0;2.0;1.0;4.0;1.0;1.0;2.0;1.0;3.0
nunca;1.0;1.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;4.0;3.0;1.0;1.0;2.0;3.0;2.0;3.0;0.0;2.0;0.0;0.0;0.0;1.0;3.0;1.0;1.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;2.0;3.0;0.0;1.0;1.0;0.0;1.0;0.0;4.0;1.0;3.0;1.0;1.0;0.0;0.0;2.0
náusea;2.0;0.0;1.0;2.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;7.0;1.0;1.0;3.0;0.0;0.0;1.0;3.0;1.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;1.0;2.0;0.0;6.0;2.0;8.0;6.0;0.0;1.0;4.0;1.0;0.0;4.0;0.0;0.0;3.0;7.0;1.0
observar;1.0;0.0;1.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;1.0;4.0;2.0;3.0;1.0;1.0;2.0;0.0;4.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;2.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0;0.0;0.0;2.0;1.0;0.0;2.0;3.0;1.0;4.0;1.0;0.0;1.0;2.0;3.0
passar;8.0;6.0;4.0;4.0;1.0;1.0;7.0;1.0;0.0;5.0;0.0;20.0;7.0;2.0;4.0;2.0;2.0;5.0;6.0;2.0;2.0;2.0;1.0;3.0;4.0;8.0;3.0;1.0;0.0;1.0;2.0;1.0;3.0;8.0;2.0;0.0;1.0;2.0;2.0;2.0;1.0;0.0;6.0;8.0;1.0;6.0;6.0;10.0;5.0;1.0;2.0;2.0;15.0;11.0;8.0;1.0;3.0;4.0;3.0;2.0
perder;3.0;2.0;1.0;2.0;0.0;0.0;4.0;0.0;1.0;1.0;0.0;13.0;2.0;1.0;3.0;1.0;4.0;2.0;4.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;2.0;4.0;0.0;1.0;3.0;0.0;0.0;1.0;3.0;2.0;2.0;0.0;0.0;1.0;1.0;6.0;0.0;22.0;1.0;2.0;2.0;4.0;4.0;0.0;2.0;1.0;4.0;6.0;5.0;2.0;1.0;2.0;4.0;1.0
peso;6.0;3.0;2.0;3.0;0.0;1.0;5.0;0.0;2.0;1.0;0.0;14.0;6.0;2.0;5.0;1.0;2.0;2.0;3.0;1.0;1.0;0.0;1.0;3.0;1.0;3.0;4.0;2.0;0.0;1.0;4.0;0.0;1.0;0.0;5.0;2.0;2.0;0.0;1.0;2.0;1.0;8.0;22.0;0.0;1.0;2.0;3.0;6.0;4.0;0.0;3.0;2.0;9.0;13.0;9.0;2.0;1.0;3.0;4.0;2.0
problema;0.0;0.0;0.0;0.0;0.0;1.0;3.0;1.0;1.0;0.0;1.0;8.0;2.0;5.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;4.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;2.0;1.0;1.0;1.0;0.0;2.0;0.0;3.0;2.0;0.0;0.0;0.0;1.0;1.0;3.0;0.0;0.0;1.0;4.0;1.0
querer;7.0;1.0;3.0;2.0;2.0;2.0;11.0;11.0;2.0;1.0;5.0;39.0;10.0;13.0;5.0;1.0;0.0;1.0;9.0;9.0;3.0;4.0;4.0;4.0;14.0;2.0;10.0;0.0;2.0;3.0;5.0;5.0;8.0;4.0;2.0;2.0;4.0;5.0;3.0;6.0;1.0;6.0;2.0;2.0;2.0;0.0;1.0;7.0;2.0;3.0;6.0;3.0;9.0;5.0;23.0;4.0;7.0;4.0;7.0;5.0
questão;1.0;2.0;2.0;2.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;8.0;3.0;1.0;2.0;1.0;3.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;1.0;1.0;1.0;0.0;2.0;0.0;6.0;2.0;3.0;0.0;1.0;0.0;3.0;2.0;0.0;0.0;1.0;4.0;1.0;3.0;0.0;0.0;2.0;2.0;2.0
quimioterapia;2.0;3.0;6.0;5.0;1.0;2.0;7.0;2.0;2.0;2.0;3.0;22.0;12.0;4.0;6.0;2.0;4.0;3.0;9.0;7.0;2.0;2.0;5.0;1.0;6.0;2.0;8.0;4.0;2.0;1.0;2.0;3.0;3.0;4.0;0.0;1.0;3.0;4.0;1.0;8.0;0.0;10.0;4.0;6.0;3.0;7.0;3.0;0.0;11.0;2.0;3.0;6.0;4.0;4.0;13.0;6.0;1.0;8.0;13.0;3.0
remédio;2.0;3.0;1.0;2.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;4.0;3.0;1.0;2.0;2.0;2.0;2.0;4.0;0.0;1.0;1.0;3.0;0.0;0.0;2.0;2.0;2.0;0.0;1.0;1.0;0.0;0.0;2.0;0.0;1.0;2.0;0.0;1.0;6.0;2.0;5.0;4.0;4.0;2.0;2.0;2.0;11.0;0.0;1.0;2.0;2.0;3.0;1.0;14.0;2.0;0.0;2.0;12.0;2.0
